COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
01,001,ANTIOQUIA,MEDELLIN,2011,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,NO,NO,SI,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,SI,NO,INACTIVO,INDAGACION,LEY 906,10.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,VOTO FRAUDULENTO ART. 391 C.P,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,INTERVENCION EN POLITICA ART. 422 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,ACTIVO,INDAGACION,LEY 906,2.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,DENEGACION DE INSCRIPCION ART. 396 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,INTERVENCION EN POLITICA ART. 422 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
01,001,ANTIOQUIA,MEDELLIN,2011,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,150887.0,746777.0,600790.0,1347567.0
