,cod_dep,cod_mun,departament,municipality,total
0,01,001,ANTIOQUIA,MEDELLIN,125202
1,01,004,ANTIOQUIA,ABEJORRAL,983
2,01,007,ANTIOQUIA,ABRIAQUI,217
3,01,010,ANTIOQUIA,ALEJANDRIA,751
4,01,013,ANTIOQUIA,AMAGA,1982
5,01,016,ANTIOQUIA,AMALFI,1589
6,01,019,ANTIOQUIA,ANDES,2929
7,01,022,ANTIOQUIA,ANGELOPOLIS,603
8,01,025,ANTIOQUIA,ANGOSTURA,531
9,01,028,ANTIOQUIA,ANORI,1532
10,01,031,ANTIOQUIA,ANTIOQUIA,1807
11,01,034,ANTIOQUIA,ANZA,671
12,01,035,ANTIOQUIA,APARTADO,9773
13,01,037,ANTIOQUIA,ARBOLETES,3181
14,01,039,ANTIOQUIA,ARGELIA,518
15,01,040,ANTIOQUIA,ARMENIA,333
16,01,043,ANTIOQUIA,BARBOSA,4082
17,01,046,ANTIOQUIA,BELMIRA,677
18,01,049,ANTIOQUIA,BELLO,36252
19,01,052,ANTIOQUIA,BETANIA,965
20,01,055,ANTIOQUIA,BETULIA,1304
21,01,058,ANTIOQUIA,BOLIVAR,1488
22,01,061,ANTIOQUIA,BURITICA,1476
23,01,062,ANTIOQUIA,BRICEÑO,1134
24,01,064,ANTIOQUIA,CACERES,2542
25,01,067,ANTIOQUIA,CAICEDO,336
26,01,070,ANTIOQUIA,CALDAS,6285
27,01,073,ANTIOQUIA,CAMPAMENTO,981
28,01,076,ANTIOQUIA,CAÑASGORDAS,1222
29,01,078,ANTIOQUIA,CARACOLI,487
30,01,079,ANTIOQUIA,CARAMANTA,466
31,01,080,ANTIOQUIA,CAREPA,5030
32,01,082,ANTIOQUIA,CARMEN DE VIBORAL,3074
33,01,085,ANTIOQUIA,CAROLINA,447
34,01,088,ANTIOQUIA,CAUCASIA,8305
35,01,091,ANTIOQUIA,CISNEROS,1186
36,01,094,ANTIOQUIA,COCORNA,1855
37,01,097,ANTIOQUIA,CONCEPCION,586
38,01,100,ANTIOQUIA,CONCORDIA,1033
39,01,103,ANTIOQUIA,COPACABANA,6621
40,01,106,ANTIOQUIA,CHIGORODO,4268
41,01,109,ANTIOQUIA,DABEIBA,1748
42,01,112,ANTIOQUIA,DON MATIAS,1569
43,01,115,ANTIOQUIA,EBEJICO,1005
44,01,117,ANTIOQUIA,EL BAGRE,4729
45,01,118,ANTIOQUIA,ENTRERRIOS,579
46,01,121,ANTIOQUIA,ENVIGADO,18478
47,01,124,ANTIOQUIA,FREDONIA,1362
48,01,127,ANTIOQUIA,FRONTINO,1544
49,01,130,ANTIOQUIA,GIRALDO,485
50,01,133,ANTIOQUIA,GIRARDOTA,3230
51,01,136,ANTIOQUIA,GOMEZ PLATA,916
52,01,139,ANTIOQUIA,GRANADA,470
