,crime,criminality,is_file,is_preclusion,state,state_case,law,departament,municipality,year,total_processes
1,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",2019,5
4,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CUNDINAMARCA,TOCANCIPÁ,2019,2
11,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,MAGDALENA,CHIBOLO,2019,1
12,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,CESAR,LA PAZ,2019,1
22,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,QUINDÍO,ARMENIA,2019,1
24,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,SUCRE,SINCELEJO,2019,1
25,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,INACTIVO,INDAGACIÓN,LEY 906,CHOCÓ,QUIBDO,2019,1
29,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,CESAR,LA GLORIA,2019,1
31,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,BOLÍVAR,TIQUISIO,2019,1
37,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,INDAGACIÓN,LEY 906,VALLE DEL CAUCA,PRADERA,2019,1
38,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CESAR,VALLEDUPAR,2019,3
41,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,INACTIVO,JUICIO,LEY 906,BOYACA,G√ÚICÁN,2019,1
44,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,NORTE DE SANTANDER,VILLA DEL ROSARIO,2019,2
47,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,JUICIO,LEY 906,NARIÑO,MAG√ÚI,2019,1
48,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,MAGDALENA,CIÉNAGA,2019,1
49,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,TOLIMA,IBAGUÉ,2019,1
51,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,SANTANDER,BARRANCABERMEJA,2019,1
54,DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,CUNDINAMARCA,LA PEÑA,2019,1
56,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,CALDAS,AGUADAS,2019,1
69,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,VALLE DEL CAUCA,PALMIRA,2019,1
72,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INVESTIGACIÓN,LEY 906,CUNDINAMARCA,YACOPÍ,2019,1
73,FRAUDE AL SUFRAGANTE ART. 388 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,NARIÑO,PROVIDENCIA,2019,1
76,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,MAGDALENA,PEDRAZA,2019,1
78,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CHOCÓ,RIOSUCIO,2019,2
79,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,TOLIMA,ARMERO,2019,1
80,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,ATLÁNTICO,SABANALARGA,2019,1
83,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,INACTIVO,INDAGACIÓN,LEY 906,CUNDINAMARCA,TOCANCIPÁ,2019,1
85,TRAFICO DE VOTOS ART. 390A,SI,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,ATLÁNTICO,BARRANQUILLA,2019,1
86,INTERVENCION EN POLITICA ART. 422 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,CASANARE,OROCUÉ,2019,1
87,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,BOLÍVAR,CARTAGENA,2019,1
91,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,ARAUCA,ARAUCA,2019,1
95,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,NARIÑO,IPIALES,2019,1
101,ELECCION ILICITA DE CANDIDATOS ART. 389A,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,BOYACA,DUITAMA,2019,4
105,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,ANTIOQUIA,MURINDÓ,2019,1
115,TRAFICO DE VOTOS ART. 390A,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,ANTIOQUIA,BETULIA,2019,1
116,VOTO FRAUDULENTO ART. 391 C.P,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,ATLÁNTICO,BARRANQUILLA,2019,1
121,VOTO FRAUDULENTO ART. 391 C.P,SI,NO,NO,INACTIVO,JUICIO,LEY 906,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",2019,1
125,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACIÓN,LEY 906,SANTANDER,CERRITO,2019,1
127,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,SANTANDER,CHARTA,2019,1
129,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,SI,NO,NO,ACTIVO,INDAGACIÓN,LEY 906,BOYACA,BERBEO,2019,1
