COD_DEP,COD_MUN,DEPARTAMENTO,MUNICIPIO,AÑO,DELITO,CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,TOTAL_PROCESOS,TRANSHUMANTES,IDC_TOTAL,MUJERES_DIVIPOLE,HOMBRES_DIVIPOLE,TOTAL_DIVIPOLE
01,001,ANTIOQUIA,MEDELLIN,2019,CONSTREÑIMIENTO AL SUFRAGANTE ART. 387 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,001,ANTIOQUIA,MEDELLIN,2019,TRAFICO DE VOTOS ART. 390A,SI,NO,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,001,ANTIOQUIA,MEDELLIN,2019,VOTO FRAUDULENTO ART. 391 C.P,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,7.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,001,ANTIOQUIA,MEDELLIN,2019,ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,2.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,001,ANTIOQUIA,MEDELLIN,2019,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,001,ANTIOQUIA,MEDELLIN,2019,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",NO,SI,NO,INACTIVO,INDAGACION,LEY 906,5.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,001,ANTIOQUIA,MEDELLIN,2019,TRAFICO DE VOTOS ART. 390A,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,001,ANTIOQUIA,MEDELLIN,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,001,ANTIOQUIA,MEDELLIN,2019,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,001,ANTIOQUIA,MEDELLIN,2019,DENEGACION DE INSCRIPCION ART. 396 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,0.0,114104.0,908723.0,754131.0,1662854.0
01,010,ANTIOQUIA,ALEJANDRIA,2019,PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,282.0,386.0,2207.0,2303.0,4510.0
01,010,ANTIOQUIA,ALEJANDRIA,2019,"OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.",SI,NO,NO,ACTIVO,INDAGACION,LEY 906,1.0,282.0,386.0,2207.0,2303.0,4510.0
01,010,ANTIOQUIA,ALEJANDRIA,2019,CORRUPCION DE SUFRAGANTE ART. 390 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,2.0,282.0,386.0,2207.0,2303.0,4510.0
01,010,ANTIOQUIA,ALEJANDRIA,2019,FRAUDE AL SUFRAGANTE ART. 388 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,3.0,282.0,386.0,2207.0,2303.0,4510.0
01,013,ANTIOQUIA,AMAGA,2019,FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.,NO,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,538.0,1232.0,11668.0,11238.0,22906.0
01,013,ANTIOQUIA,AMAGA,2019,INTERVENCION EN POLITICA ART. 422 C.P.,SI,SI,NO,INACTIVO,INDAGACION,LEY 906,1.0,538.0,1232.0,11668.0,11238.0,22906.0
