DELITO;CRIMINALIDAD;ES_ARCHIVO;ES_PRECLUSI√ìN;ESTADO;ETAPA_CASO;LEY;DEPARTAMENTO_HECHO;MUNICIPIO_HECHO;AÑO_HECHOS;TOTAL_PROCESOS
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;SIMIT√ç;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;BOGOT√Å, D. C.;BOGOT√Å, D.C.;2019;5
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Tolima;AMBALEMA;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;PASTO;2011;3
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;TOCANCIP√Å;2019;2
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Nari√±o;SANDON√Å;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;NILO;2015;2
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;DON MAT√çAS;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Magdalena;EL BANCO;2011;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;VILLAVICENCIO;2015;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;ALVARADO;2015;1
OCULTAMIENTO, RETENCION Y POSESION ILICITA DE CEDULA ART. 395 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Magdalena;CHIBOLO;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;LA PAZ;2019;1
CONSTRE√ëIMIENTO AL SUFRAGANTE ART. 387 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Antioquia;PUERTO NARE;2011;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;PUERTO BOYAC√Å;2015;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Risaralda;DOSQUEBRADAS;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;TIBAN√Å;2011;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Boyaca;MONGUA;2015;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;CONDOTO;2011;1
INTERVENCION EN POLITICA ART. 422 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Caquet√°;CARTAGENA DEL CHAIR√Å;2011;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Tolima;SAN LUIS;2015;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Valle del Cauca;RESTREPO;2015;1
ALTERACION DE RESULTADOS ELECTORALES ART. 394  C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Quind√≠o;ARMENIA;2019;1
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;CARTAGENA;2011;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Sucre;SINCELEJO;2019;1
FRAUDE AL SUFRAGANTE ART. 388 C.P.;SI;NO;NO;INACTIVO;INDAGACI√ìN;Ley 906;Choc√≥;QUIBDO;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;CAJIC√Å;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;MONTECRISTO;2015;1
FRAUDE EN LA INSCRIPCION DE CEDULAS ART. 389 C.P.;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Tolima;VALLE DE SAN JUAN;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cesar;LA GLORIA;2019;1
PERTURBACION DE CERTAMEN DEMOCRATICO ART. 386 C.P.;SI;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;GUAMAL;2015;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;SI;NO;NO;ACTIVO;INDAGACI√ìN;Ley 906;Bol√≠var;TIQUISIO;2019;1
DELITOS CONTRA MECANISMOS DE PARTICIPACION DEMOCRATICA;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Meta;VILLAVICENCIO;2015;19
CORRUPCION DE SUFRAGANTE ART. 390 C.P.;NO;SI;NO;INACTIVO;INDAGACI√ìN;Ley 906;Cundinamarca;MOSQUERA;2011;1
